track_id,release_id,track_title,track_number,duration_seconds
116,13,Track 00116,12,350
117,13,Track 00117,13,160
118,13,Track 00118,14,328
119,13,Track 00119,15,203
120,14,Track 00120,1,168
121,14,Track 00121,2,315
122,14,Track 00122,3,160
123,14,Track 00123,4,247
124,14,Track 00124,5,251
125,14,Track 00125,6,239
126,14,Track 00126,7,247
127,14,Track 00127,8,345
128,14,Track 00128,9,198
129,14,Track 00129,10,247
130,14,Track 00130,11,125
131,14,Track 00131,12,143
132,14,Track 00132,13,220
133,15,Track 00133,1,237
134,15,Track 00134,2,181
135,15,Track 00135,3,175
136,15,Track 00136,4,269
137,15,Track 00137,5,210
138,15,Track 00138,6,132
139,15,Track 00139,7,132
140,15,Track 00140,8,192
141,15,Track 00141,9,246
142,16,Track 00142,1,193
143,16,Track 00143,2,257
144,16,Track 00144,3,122
145,16,Track 00145,4,336
146,16,Track 00146,5,147
147,16,Track 00147,6,230
148,16,Track 00148,7,154
149,16,Track 00149,8,345
150,16,Track 00150,9,187
151,16,Track 00151,10,306
152,16,Track 00152,11,213
153,16,Track 00153,12,315
154,16,Track 00154,13,223
155,16,Track 00155,14,213
156,16,Track 00156,15,131
157,17,Track 00157,1,133
158,17,Track 00158,2,265
159,17,Track 00159,3,263
160,17,Track 00160,4,169
161,17,Track 00161,5,212
162,17,Track 00162,6,261
163,17,Track 00163,7,193
164,18,Track 00164,1,218
165,18,Track 00165,2,249
166,18,Track 00166,3,235
167,18,Track 00167,4,315
168,18,Track 00168,5,260
169,18,Track 00169,6,191
170,18,Track 00170,7,331
171,18,Track 00171,8,279
172,18,Track 00172,9,294
173,19,Track 00173,1,150
174,19,Track 00174,2,152
175,19,Track 00175,3,144
176,19,Track 00176,4,220
177,19,Track 00177,5,215
178,19,Track 00178,6,323
179,19,Track 00179,7,206
180,19,Track 00180,8,262
181,19,Track 00181,9,360
182,19,Track 00182,10,213
183,20,Track 00183,1,170
184,20,Track 00184,2,274
185,20,Track 00185,3,250
186,20,Track 00186,4,222
187,20,Track 00187,5,248
188,20,Track 00188,6,130
189,20,Track 00189,7,131
190,20,Track 00190,8,129
191,20,Track 00191,9,155
192,20,Track 00192,10,302
193,21,Track 00193,1,325
194,21,Track 00194,2,241
195,21,Track 00195,3,252
196,21,Track 00196,4,236
197,21,Track 00197,5,158
198,21,Track 00198,6,275
199,22,Track 00199,1,155
200,22,Track 00200,2,203
201,22,Track 00201,3,358
202,22,Track 00202,4,276
203,22,Track 00203,5,201
204,22,Track 00204,6,161
205,22,Track 00205,7,220
206,22,Track 00206,8,277
207,22,Track 00207,9,309
208,23,Track 00208,1,271
209,23,Track 00209,2,206
210,23,Track 00210,3,249
211,23,Track 00211,4,332
212,23,Track 00212,5,250
213,24,Track 00213,1,245
214,24,Track 00214,2,301
215,24,Track 00215,3,264
216,24,Track 00216,4,196
217,24,Track 00217,5,241
218,24,Track 00218,6,328
219,24,Track 00219,7,124
220,24,Track 00220,8,214
221,24,Track 00221,9,204
222,25,Track 00222,1,148
223,25,Track 00223,2,226
224,25,Track 00224,3,269
225,25,Track 00225,4,198
226,25,Track 00226,5,323
227,25,Track 00227,6,350
228,25,Track 00228,7,305
229,25,Track 00229,8,343
230,25,Track 00230,9,296
231,25,Track 00231,10,281
232,25,Track 00232,11,126
233,26,Track 00233,1,241
234,26,Track 00234,2,187
235,26,Track 00235,3,287
236,26,Track 00236,4,320
237,26,Track 00237,5,318
238,26,Track 00238,6,268
239,26,Track 00239,7,267
240,26,Track 00240,8,178
241,26,Track 00241,9,304
242,26,Track 00242,10,133
243,27,Track 00243,1,242
244,27,Track 00244,2,163
245,27,Track 00245,3,254
246,27,Track 00246,4,281
247,27,Track 00247,5,304
248,27,Track 00248,6,278
249,27,Track 00249,7,318
250,27,Track 00250,8,335
251,27,Track 00251,9,217
252,27,Track 00252,10,157
253,28,Track 00253,1,182
254,28,Track 00254,2,128
255,28,Track 00255,3,266
256,28,Track 00256,4,299
257,28,Track 00257,5,148
258,28,Track 00258,6,168
259,28,Track 00259,7,124
260,28,Track 00260,8,232
261,28,Track 00261,9,200
262,28,Track 00262,10,227
263,28,Track 00263,11,158
264,29,Track 00264,1,296
265,29,Track 00265,2,172
266,29,Track 00266,3,225
267,29,Track 00267,4,248
268,29,Track 00268,5,318
269,29,Track 00269,6,276
270,29,Track 00270,7,355
271,30,Track 00271,1,343
272,30,Track 00272,2,337
273,30,Track 00273,3,308
274,30,Track 00274,4,306
275,30,Track 00275,5,135
276,30,Track 00276,6,300
277,30,Track 00277,7,155
278,30,Track 00278,8,252
279,30,Track 00279,9,173
280,30,Track 00280,10,263
281,30,Track 00281,11,203
282,30,Track 00282,12,289
283,30,Track 00283,13,242
284,30,Track 00284,14,254
285,30,Track 00285,15,216
286,31,Track 00286,1,164
287,31,Track 00287,2,237
288,31,Track 00288,3,353
289,31,Track 00289,4,256
290,31,Track 00290,5,207
291,31,Track 00291,6,259
292,32,Track 00292,1,293
293,32,Track 00293,2,317
294,32,Track 00294,3,342
295,32,Track 00295,4,304
296,32,Track 00296,5,294
297,32,Track 00297,6,284
298,33,Track 00298,1,187
299,33,Track 00299,2,276
300,33,Track 00300,3,243
301,33,Track 00301,4,169
302,33,Track 00302,5,183
303,33,Track 00303,6,191
304,33,Track 00304,7,262
305,33,Track 00305,8,196
306,33,Track 00306,9,177
307,33,Track 00307,10,196
308,33,Track 00308,11,317
309,33,Track 00309,12,193
310,34,Track 00310,1,173
311,34,Track 00311,2,296
312,34,Track 00312,3,300
313,34,Track 00313,4,245
314,34,Track 00314,5,201
315,34,Track 00315,6,242
316,34,Track 00316,7,209
317,34,Track 00317,8,263
318,34,Track 00318,9,359
319,34,Track 00319,10,359
320,34,Track 00320,11,323
321,34,Track 00321,12,304
322,35,Track 00322,1,193
323,35,Track 00323,2,151
324,35,Track 00324,3,266
325,35,Track 00325,4,293
326,35,Track 00326,5,259
327,36,Track 00327,1,349
328,36,Track 00328,2,221
329,36,Track 00329,3,329
330,36,Track 00330,4,208
331,36,Track 00331,5,317
332,36,Track 00332,6,325
333,36,Track 00333,7,157
334,37,Track 00334,1,130
335,37,Track 00335,2,193
336,37,Track 00336,3,302
337,37,Track 00337,4,140
338,37,Track 00338,5,208
339,37,Track 00339,6,356
340,37,Track 00340,7,233
341,37,Track 00341,8,287
342,37,Track 00342,9,185
343,37,Track 00343,10,311
344,37,Track 00344,11,242
345,37,Track 00345,12,174
346,38,Track 00346,1,331
347,38,Track 00347,2,257
348,38,Track 00348,3,189
349,38,Track 00349,4,358
350,39,Track 00350,1,298
351,39,Track 00351,2,189
352,39,Track 00352,3,155
353,39,Track 00353,4,147
354,39,Track 00354,5,277
355,39,Track 00355,6,309
356,39,Track 00356,7,270
357,39,Track 00357,8,181
358,39,Track 00358,9,182
359,40,Track 00359,1,291
360,40,Track 00360,2,351
361,40,Track 00361,3,255
362,40,Track 00362,4,177
363,40,Track 00363,5,283
364,40,Track 00364,6,179
365,40,Track 00365,7,133
366,40,Track 00366,8,145
367,41,Track 00367,1,204
368,41,Track 00368,2,303
369,41,Track 00369,3,240
370,41,Track 00370,4,145
371,41,Track 00371,5,294
372,41,Track 00372,6,317
373,41,Track 00373,7,155
374,41,Track 00374,8,121
375,41,Track 00375,9,260
376,41,Track 00376,10,357
377,41,Track 00377,11,160
378,41,Track 00378,12,224
379,41,Track 00379,13,287
380,41,Track 00380,14,359
381,42,Track 00381,1,242
382,42,Track 00382,2,286
383,42,Track 00383,3,171
384,42,Track 00384,4,313
385,42,Track 00385,5,193
386,42,Track 00386,6,202
387,42,Track 00387,7,193
388,42,Track 00388,8,285
389,43,Track 00389,1,352
390,44,Track 00390,1,286
391,44,Track 00391,2,266
392,45,Track 00392,1,256
393,45,Track 00393,2,309
394,45,Track 00394,3,305
395,45,Track 00395,4,337
396,46,Track 00396,1,353
397,47,Track 00397,1,226
398,47,Track 00398,2,345
399,47,Track 00399,3,334
400,48,Track 00400,1,359
401,48,Track 00401,2,355
402,48,Track 00402,3,129
403,49,Track 00403,1,321
404,49,Track 00404,2,246
405,49,Track 00405,3,167
406,49,Track 00406,4,359
407,49,Track 00407,5,311
408,49,Track 00408,6,343
409,49,Track 00409,7,357
410,49,Track 00410,8,194
411,49,Track 00411,9,344
412,49,Track 00412,10,129
413,49,Track 00413,11,122
414,49,Track 00414,12,196
415,49,Track 00415,13,265
416,49,Track 00416,14,274
417,50,Track 00417,1,357
418,50,Track 00418,2,205
419,50,Track 00419,3,192
420,50,Track 00420,4,236
421,50,Track 00421,5,284
422,50,Track 00422,6,259
423,50,Track 00423,7,254
424,50,Track 00424,8,246
425,50,Track 00425,9,347
426,51,Track 00426,1,337
427,51,Track 00427,2,249
428,51,Track 00428,3,239
429,52,Track 00429,1,169
430,52,Track 00430,2,327
431,52,Track 00431,3,148
432,52,Track 00432,4,204
433,52,Track 00433,5,161
434,53,Track 00434,1,237
435,53,Track 00435,2,285
436,53,Track 00436,3,185
437,53,Track 00437,4,303
438,53,Track 00438,5,167
439,53,Track 00439,6,123
440,53,Track 00440,7,308
441,53,Track 00441,8,206
442,53,Track 00442,9,322
443,53,Track 00443,10,195
444,53,Track 00444,11,265
445,53,Track 00445,12,292
446,54,Track 00446,1,164
447,54,Track 00447,2,276
448,54,Track 00448,3,339
449,54,Track 00449,4,283
450,55,Track 00450,1,331
451,55,Track 00451,2,229
452,55,Track 00452,3,251
453,55,Track 00453,4,203
454,55,Track 00454,5,142
455,55,Track 00455,6,222
456,55,Track 00456,7,291
457,55,Track 00457,8,144
458,55,Track 00458,9,167
459,55,Track 00459,10,155
460,55,Track 00460,11,242
461,55,Track 00461,12,202
462,55,Track 00462,13,359
463,55,Track 00463,14,183
464,56,Track 00464,1,186
465,56,Track 00465,2,218
466,56,Track 00466,3,180
467,56,Track 00467,4,234
468,56,Track 00468,5,312
469,56,Track 00469,6,188
470,56,Track 00470,7,204
471,56,Track 00471,8,197
472,57,Track 00472,1,186
473,57,Track 00473,2,287
474,57,Track 00474,3,212
475,57,Track 00475,4,297
476,57,Track 00476,5,180
477,57,Track 00477,6,135
478,57,Track 00478,7,290
479,57,Track 00479,8,150
480,58,Track 00480,1,198
481,58,Track 00481,2,160
482,58,Track 00482,3,223
483,58,Track 00483,4,295
484,58,Track 00484,5,248
485,58,Track 00485,6,356
486,58,Track 00486,7,349
487,58,Track 00487,8,347
488,58,Track 00488,9,300
489,58,Track 00489,10,317
490,58,Track 00490,11,199
491,58,Track 00491,12,296
492,58,Track 00492,13,150
493,58,Track 00493,14,283
494,58,Track 00494,15,354
495,59,Track 00495,1,214
496,59,Track 00496,2,277
497,59,Track 00497,3,176
498,59,Track 00498,4,176
499,59,Track 00499,5,154
500,60,Track 00500,1,159
501,60,Track 00501,2,236
502,60,Track 00502,3,311
503,60,Track 00503,4,275
504,60,Track 00504,5,215
505,60,Track 00505,6,226
506,60,Track 00506,7,299
507,60,Track 00507,8,260
508,60,Track 00508,9,353
509,60,Track 00509,10,240
510,60,Track 00510,11,313
511,60,Track 00511,12,257
512,60,Track 00512,13,325
513,60,Track 00513,14,290
514,60,Track 00514,15,331
515,61,Track 00515,1,315
516,61,Track 00516,2,183
517,61,Track 00517,3,294
518,61,Track 00518,4,313
519,62,Track 00519,1,254
520,62,Track 00520,2,234
521,62,Track 00521,3,255
522,62,Track 00522,4,300
523,62,Track 00523,5,212
524,62,Track 00524,6,139
525,62,Track 00525,7,354
526,62,Track 00526,8,264
527,62,Track 00527,9,148
528,63,Track 00528,1,332
529,63,Track 00529,2,260
530,63,Track 00530,3,351
531,63,Track 00531,4,249
532,63,Track 00532,5,171
533,63,Track 00533,6,266
534,63,Track 00534,7,257
535,63,Track 00535,8,158
536,64,Track 00536,1,203
537,64,Track 00537,2,338
538,64,Track 00538,3,253
539,65,Track 00539,1,149
540,65,Track 00540,2,294
541,65,Track 00541,3,172
542,65,Track 00542,4,303
543,65,Track 00543,5,269
544,65,Track 00544,6,245
545,65,Track 00545,7,143
546,65,Track 00546,8,350
547,66,Track 00547,1,327
548,66,Track 00548,2,134
549,66,Track 00549,3,236
550,66,Track 00550,4,153
551,66,Track 00551,5,251
552,66,Track 00552,6,226
553,66,Track 00553,7,236
554,66,Track 00554,8,264
555,66,Track 00555,9,134
556,66,Track 00556,10,263
557,66,Track 00557,11,238
558,66,Track 00558,12,292
559,66,Track 00559,13,326
560,66,Track 00560,14,198
561,66,Track 00561,15,305
562,67,Track 00562,1,221
563,68,Track 00563,1,329
564,68,Track 00564,2,120
565,68,Track 00565,3,310
566,68,Track 00566,4,175
567,68,Track 00567,5,268
568,69,Track 00568,1,131
569,69,Track 00569,2,228
570,70,Track 00570,1,299
571,70,Track 00571,2,136
572,70,Track 00572,3,258
573,70,Track 00573,4,135
574,70,Track 00574,5,359
575,70,Track 00575,6,348
576,71,Track 00576,1,359
577,71,Track 00577,2,240
578,72,Track 00578,1,193
579,73,Track 00579,1,166
580,73,Track 00580,2,316
581,73,Track 00581,3,154
582,73,Track 00582,4,316
583,73,Track 00583,5,284
584,73,Track 00584,6,306
585,73,Track 00585,7,285
586,73,Track 00586,8,227
587,73,Track 00587,9,215
588,73,Track 00588,10,348
589,73,Track 00589,11,217
590,73,Track 00590,12,234
591,73,Track 00591,13,342
592,73,Track 00592,14,354
593,74,Track 00593,1,216
594,74,Track 00594,2,140
595,74,Track 00595,3,294
596,74,Track 00596,4,289
597,74,Track 00597,5,343
598,74,Track 00598,6,258
599,74,Track 00599,7,154
600,75,Track 00600,1,340
601,75,Track 00601,2,209
602,75,Track 00602,3,150
603,75,Track 00603,4,165
604,75,Track 00604,5,257
605,75,Track 00605,6,220
606,75,Track 00606,7,255
607,75,Track 00607,8,152
608,75,Track 00608,9,306
609,75,Track 00609,10,177
610,75,Track 00610,11,333
611,76,Track 00611,1,313
612,77,Track 00612,1,196
613,78,Track 00613,1,292
614,78,Track 00614,2,304
615,78,Track 00615,3,259
616,78,Track 00616,4,228
617,78,Track 00617,5,256
618,78,Track 00618,6,217
619,78,Track 00619,7,330
620,78,Track 00620,8,178
621,79,Track 00621,1,237
622,79,Track 00622,2,208
623,79,Track 00623,3,159
624,79,Track 00624,4,190
625,80,Track 00625,1,359
626,80,Track 00626,2,344
627,80,Track 00627,3,305
628,80,Track 00628,4,315
629,80,Track 00629,5,148
630,80,Track 00630,6,128
631,80,Track 00631,7,327
632,80,Track 00632,8,289
633,80,Track 00633,9,227
634,80,Track 00634,10,277
635,80,Track 00635,11,316
636,81,Track 00636,1,181
637,81,Track 00637,2,172
638,81,Track 00638,3,137
639,81,Track 00639,4,145
640,81,Track 00640,5,272
641,81,Track 00641,6,128
642,81,Track 00642,7,234
643,81,Track 00643,8,273
644,82,Track 00644,1,182
645,82,Track 00645,2,309
646,82,Track 00646,3,131
647,82,Track 00647,4,222
648,82,Track 00648,5,232
649,82,Track 00649,6,179
650,82,Track 00650,7,258
651,82,Track 00651,8,175
652,83,Track 00652,1,155
653,84,Track 00653,1,194
654,84,Track 00654,2,179
655,84,Track 00655,3,328
656,84,Track 00656,4,354
657,84,Track 00657,5,307
658,84,Track 00658,6,267
659,84,Track 00659,7,201
660,84,Track 00660,8,267
661,84,Track 00661,9,273
662,85,Track 00662,1,329
663,85,Track 00663,2,202
664,85,Track 00664,3,180
665,85,Track 00665,4,197
666,85,Track 00666,5,344
667,85,Track 00667,6,156
668,85,Track 00668,7,289
669,85,Track 00669,8,253
670,85,Track 00670,9,176
671,85,Track 00671,10,225
672,85,Track 00672,11,196
673,86,Track 00673,1,135
674,86,Track 00674,2,262
675,86,Track 00675,3,271
676,86,Track 00676,4,345
677,86,Track 00677,5,308
678,87,Track 00678,1,280
679,87,Track 00679,2,293
680,87,Track 00680,3,229
681,87,Track 00681,4,262
682,87,Track 00682,5,246
683,87,Track 00683,6,132
684,87,Track 00684,7,208
685,87,Track 00685,8,284
686,87,Track 00686,9,291
687,87,Track 00687,10,217
688,88,Track 00688,1,201
689,88,Track 00689,2,298
690,88,Track 00690,3,226
691,88,Track 00691,4,224
692,88,Track 00692,5,158
693,88,Track 00693,6,196
694,88,Track 00694,7,216
695,88,Track 00695,8,167
696,88,Track 00696,9,313
697,89,Track 00697,1,181
698,89,Track 00698,2,337
699,89,Track 00699,3,177
700,89,Track 00700,4,196
701,89,Track 00701,5,339
702,89,Track 00702,6,301
703,89,Track 00703,7,156
704,89,Track 00704,8,326
705,89,Track 00705,9,238
706,89,Track 00706,10,354
707,89,Track 00707,11,134
708,89,Track 00708,12,263
709,89,Track 00709,13,225
710,89,Track 00710,14,226
711,89,Track 00711,15,262
712,90,Track 00712,1,154
713,90,Track 00713,2,219
714,90,Track 00714,3,182
715,90,Track 00715,4,185
716,90,Track 00716,5,172
717,90,Track 00717,6,204
718,90,Track 00718,7,285
719,90,Track 00719,8,140
720,90,Track 00720,9,356
721,91,Track 00721,1,336
722,91,Track 00722,2,214
723,91,Track 00723,3,143
724,91,Track 00724,4,257
725,91,Track 00725,5,305
726,91,Track 00726,6,332
727,91,Track 00727,7,168
728,91,Track 00728,8,133
729,91,Track 00729,9,188
730,91,Track 00730,10,216
731,91,Track 00731,11,292
732,91,Track 00732,12,274
733,91,Track 00733,13,274
734,91,Track 00734,14,130
735,91,Track 00735,15,343
736,92,Track 00736,1,168
737,92,Track 00737,2,325
738,93,Track 00738,1,305
739,93,Track 00739,2,291
740,93,Track 00740,3,263
741,93,Track 00741,4,175
742,93,Track 00742,5,242
743,93,Track 00743,6,173
744,93,Track 00744,7,342
745,93,Track 00745,8,352
746,93,Track 00746,9,205
747,93,Track 00747,10,197
748,94,Track 00748,1,174
749,95,Track 00749,1,309
750,95,Track 00750,2,150
751,95,Track 00751,3,311
752,95,Track 00752,4,313
753,95,Track 00753,5,242
754,95,Track 00754,6,354
755,95,Track 00755,7,182
756,95,Track 00756,8,298
757,95,Track 00757,9,274
758,95,Track 00758,10,300
759,95,Track 00759,11,172
760,96,Track 00760,1,354
761,96,Track 00761,2,181
762,96,Track 00762,3,261
763,96,Track 00763,4,202
764,96,Track 00764,5,318
765,96,Track 00765,6,192
766,96,Track 00766,7,217
767,96,Track 00767,8,239
768,96,Track 00768,9,256
769,96,Track 00769,10,286
770,96,Track 00770,11,211
771,96,Track 00771,12,198
772,96,Track 00772,13,186
773,96,Track 00773,14,212
774,97,Track 00774,1,345
775,97,Track 00775,2,247
776,97,Track 00776,3,239
777,97,Track 00777,4,145
778,97,Track 00778,5,325
779,97,Track 00779,6,304
780,97,Track 00780,7,240
781,97,Track 00781,8,314
782,97,Track 00782,9,334
783,98,Track 00783,1,354
784,98,Track 00784,2,172
785,98,Track 00785,3,214
786,98,Track 00786,4,200
787,98,Track 00787,5,225
788,98,Track 00788,6,131
789,99,Track 00789,1,341
790,99,Track 00790,2,176
791,99,Track 00791,3,309
792,99,Track 00792,4,157
793,99,Track 00793,5,124
794,99,Track 00794,6,186
795,99,Track 00795,7,261
796,99,Track 00796,8,359
797,99,Track 00797,9,269
798,99,Track 00798,10,268
799,100,Track 00799,1,226
800,100,Track 00800,2,195
801,100,Track 00801,3,159
802,100,Track 00802,4,170
803,100,Track 00803,5,204
804,100,Track 00804,6,178
805,100,Track 00805,7,217
806,100,Track 00806,8,265
807,100,Track 00807,9,333
808,100,Track 00808,10,182
809,100,Track 00809,11,247
810,100,Track 00810,12,260
811,101,Track 00811,1,185
812,101,Track 00812,2,315
813,101,Track 00813,3,330
814,101,Track 00814,4,245
815,101,Track 00815,5,305
816,101,Track 00816,6,284
817,101,Track 00817,7,309
818,101,Track 00818,8,245
819,101,Track 00819,9,237
820,101,Track 00820,10,163
821,101,Track 00821,11,307
822,101,Track 00822,12,323
823,101,Track 00823,13,210
824,102,Track 00824,1,155
825,102,Track 00825,2,304
826,102,Track 00826,3,259
827,103,Track 00827,1,167
828,103,Track 00828,2,354
829,103,Track 00829,3,347
830,103,Track 00830,4,258
831,103,Track 00831,5,284
832,103,Track 00832,6,135
833,103,Track 00833,7,254
834,103,Track 00834,8,128
835,104,Track 00835,1,329
836,104,Track 00836,2,291
837,104,Track 00837,3,132
838,104,Track 00838,4,315
839,104,Track 00839,5,121
840,104,Track 00840,6,225
841,104,Track 00841,7,155
842,104,Track 00842,8,335
843,104,Track 00843,9,281
844,105,Track 00844,1,137
845,105,Track 00845,2,301
846,105,Track 00846,3,158
847,105,Track 00847,4,122
848,105,Track 00848,5,175
849,105,Track 00849,6,249
850,105,Track 00850,7,236
851,105,Track 00851,8,215
852,105,Track 00852,9,135
853,105,Track 00853,10,278
854,105,Track 00854,11,283
855,106,Track 00855,1,359
856,106,Track 00856,2,277
857,106,Track 00857,3,353
858,106,Track 00858,4,243
859,106,Track 00859,5,288
860,106,Track 00860,6,244
861,106,Track 00861,7,124
862,106,Track 00862,8,121
863,106,Track 00863,9,256
864,106,Track 00864,10,261
865,106,Track 00865,11,225
866,107,Track 00866,1,124
867,108,Track 00867,1,304
868,108,Track 00868,2,190
869,108,Track 00869,3,257
870,108,Track 00870,4,193
871,108,Track 00871,5,124
872,108,Track 00872,6,248
873,108,Track 00873,7,328
874,108,Track 00874,8,298
875,108,Track 00875,9,292
876,109,Track 00876,1,326
877,109,Track 00877,2,360
878,109,Track 00878,3,352
879,109,Track 00879,4,165
880,109,Track 00880,5,147
881,109,Track 00881,6,355
882,109,Track 00882,7,144
883,110,Track 00883,1,181
884,110,Track 00884,2,169
885,110,Track 00885,3,278
886,110,Track 00886,4,254
887,110,Track 00887,5,184
888,110,Track 00888,6,328
889,110,Track 00889,7,210
890,110,Track 00890,8,188
891,110,Track 00891,9,323
892,110,Track 00892,10,221
893,111,Track 00893,1,215
894,111,Track 00894,2,223
895,112,Track 00895,1,264
896,112,Track 00896,2,182
897,112,Track 00897,3,298
898,112,Track 00898,4,177
899,112,Track 00899,5,196
900,112,Track 00900,6,295
901,112,Track 00901,7,331
902,112,Track 00902,8,337
903,113,Track 00903,1,287
904,113,Track 00904,2,339
905,114,Track 00905,1,314
906,114,Track 00906,2,128
907,114,Track 00907,3,143
908,114,Track 00908,4,223
909,114,Track 00909,5,217
910,114,Track 00910,6,216
911,114,Track 00911,7,261
912,114,Track 00912,8,241
913,114,Track 00913,9,134
914,114,Track 00914,10,283
915,114,Track 00915,11,122
916,115,Track 00916,1,141
917,115,Track 00917,2,247
918,115,Track 00918,3,336
919,115,Track 00919,4,231
920,115,Track 00920,5,285
921,115,Track 00921,6,320
922,115,Track 00922,7,204
923,115,Track 00923,8,264
924,115,Track 00924,9,339
925,115,Track 00925,10,144
926,116,Track 00926,1,178
927,116,Track 00927,2,174
928,116,Track 00928,3,350
929,116,Track 00929,4,342
930,116,Track 00930,5,297
931,116,Track 00931,6,347
932,116,Track 00932,7,265
933,116,Track 00933,8,241
934,117,Track 00934,1,131
935,117,Track 00935,2,356
936,117,Track 00936,3,139
937,117,Track 00937,4,295
938,117,Track 00938,5,356
939,118,Track 00939,1,350
940,118,Track 00940,2,259
941,118,Track 00941,3,264
942,118,Track 00942,4,288
943,118,Track 00943,5,128
944,119,Track 00944,1,357
945,119,Track 00945,2,337
946,119,Track 00946,3,200
947,119,Track 00947,4,124
948,119,Track 00948,5,173
949,119,Track 00949,6,270
950,119,Track 00950,7,156
951,119,Track 00951,8,312
952,119,Track 00952,9,330
953,119,Track 00953,10,302
954,120,Track 00954,1,357
955,120,Track 00955,2,139
956,120,Track 00956,3,196
957,120,Track 00957,4,161
958,120,Track 00958,5,264
959,120,Track 00959,6,181
960,120,Track 00960,7,265
961,121,Track 00961,1,293
962,121,Track 00962,2,349
963,121,Track 00963,3,258
964,121,Track 00964,4,204
965,121,Track 00965,5,218
966,121,Track 00966,6,313
967,121,Track 00967,7,309
968,122,Track 00968,1,322
969,122,Track 00969,2,296
970,122,Track 00970,3,305
971,123,Track 00971,1,248
972,123,Track 00972,2,310
973,123,Track 00973,3,208
974,123,Track 00974,4,133
975,123,Track 00975,5,145
976,123,Track 00976,6,231
977,123,Track 00977,7,179
978,123,Track 00978,8,334
979,123,Track 00979,9,139
980,124,Track 00980,1,274
981,124,Track 00981,2,316
982,124,Track 00982,3,277
983,124,Track 00983,4,272
984,124,Track 00984,5,221
985,124,Track 00985,6,318
986,125,Track 00986,1,127
987,125,Track 00987,2,282
988,125,Track 00988,3,189
989,125,Track 00989,4,320
990,125,Track 00990,5,235
991,125,Track 00991,6,245
992,126,Track 00992,1,211
993,126,Track 00993,2,261
994,126,Track 00994,3,360
995,126,Track 00995,4,216
996,127,Track 00996,1,167
